avg_temp,year,city,country
24.64,1977,Rio De Janeiro,Brazil
24.01,1978,Rio De Janeiro,Brazil
23.61,1979,Rio De Janeiro,Brazil
24.35,1980,Rio De Janeiro,Brazil
24.02,1981,Rio De Janeiro,Brazil
24.02,1982,Rio De Janeiro,Brazil
24.14,1983,Rio De Janeiro,Brazil
24.62,1984,Rio De Janeiro,Brazil
24.10,1985,Rio De Janeiro,Brazil
24.75,1986,Rio De Janeiro,Brazil
24.55,1987,Rio De Janeiro,Brazil
24.00,1988,Rio De Janeiro,Brazil
24.07,1989,Rio De Janeiro,Brazil
24.64,1990,Rio De Janeiro,Brazil
24.25,1991,Rio De Janeiro,Brazil
24.24,1992,Rio De Janeiro,Brazil
24.65,1993,Rio De Janeiro,Brazil
24.71,1994,Rio De Janeiro,Brazil
24.77,1995,Rio De Janeiro,Brazil
24.28,1996,Rio De Janeiro,Brazil
24.71,1997,Rio De Janeiro,Brazil
24.78,1998,Rio De Janeiro,Brazil
24.01,1999,Rio De Janeiro,Brazil
24.36,2000,Rio De Janeiro,Brazil
24.99,2001,Rio De Janeiro,Brazil
25.18,2002,Rio De Janeiro,Brazil
24.90,2003,Rio De Janeiro,Brazil
24.24,2004,Rio De Janeiro,Brazil
24.79,2005,Rio De Janeiro,Brazil
24.57,2006,Rio De Janeiro,Brazil
24.78,2007,Rio De Janeiro,Brazil
24.26,2008,Rio De Janeiro,Brazil
24.98,2009,Rio De Janeiro,Brazil
24.95,2010,Rio De Janeiro,Brazil
24.32,2011,Rio De Janeiro,Brazil
24.84,2012,Rio De Janeiro,Brazil
25.19,2013,Rio De Janeiro,Brazil
